style,spec,term,coef,tstat,pvalue,nobs,r2,adj_r2,tstat_type
Managed Futures,model1,Liquidity,0.19609112944578908,0.3534839112457743,0.7245007700093596,99,0.0026251987590880654,-0.018153442933430908,ols
Managed Futures,model2,Intercept,0.004377752578441675,1.2539977954885355,0.2130901737851206,99,0.1870427140209988,0.1147798441561988,ols
Managed Futures,model2,MKT-RF,0.022944070725581904,0.25435099426254254,0.7998046453404644,99,0.1870427140209988,0.1147798441561988,ols
Managed Futures,model2,SMB,0.006245880844426396,0.04642548043951379,0.9630739883380564,99,0.1870427140209988,0.1147798441561988,ols
Managed Futures,model2,DTERM,-0.005938781762531554,-0.38377740307490615,0.7020485824930448,99,0.1870427140209988,0.1147798441561988,ols
Managed Futures,model2,DCREDIT,-0.011180251219918051,-0.4953226208881485,0.6215796317682919,99,0.1870427140209988,0.1147798441561988,ols
Managed Futures,model2,PTFSBD,0.0045166303870239595,0.18005042522231218,0.8575177641727039,99,0.1870427140209988,0.1147798441561988,ols
Managed Futures,model2,PTFSFX,0.08301692003760432,4.310775346587184,4.150779618499961e-05,99,0.1870427140209988,0.1147798441561988,ols
Managed Futures,model2,PTFSCOM,-0.03010413397257429,-1.1753493421315484,0.24295502800395258,99,0.1870427140209988,0.1147798441561988,ols
Managed Futures,model2,Liquidity,0.29731355715609065,0.5207079644979993,0.6038489564672063,99,0.1870427140209988,0.1147798441561988,ols
Multi-Strategy,model1,Intercept,0.004829639854391729,6.625685354243343,4.0112621352818676e-10,180,0.5212372606122317,0.5158275121445735,ols
Multi-Strategy,model1,MKT-RF,0.20884288208051788,12.578600549861559,2.4631974714669727e-26,180,0.5212372606122317,0.5158275121445735,ols
Multi-Strategy,model1,Liquidity,0.5665858884940496,4.081583505778847,6.760519497822865e-05,180,0.5212372606122317,0.5158275121445735,ols
Multi-Strategy,model2,Intercept,0.005076586517287911,7.174400068412072,2.1076734101109777e-11,180,0.5788720138231422,0.5591701197329968,ols
Multi-Strategy,model2,MKT-RF,0.18331421507484416,10.53469199123884,2.5765867455891112e-20,180,0.5788720138231422,0.5591701197329968,ols
Multi-Strategy,model2,SMB,0.05385782997123037,2.7833721389019646,0.0059851956216625665,180,0.5788720138231422,0.5591701197329968,ols
Multi-Strategy,model2,DTERM,-0.0055036836481720105,-1.6141896891583727,0.10833004398819944,180,0.5788720138231422,0.5591701197329968,ols
Multi-Strategy,model2,DCREDIT,-0.016874456451610925,-3.1049500361713696,0.002228037861321903,180,0.5788720138231422,0.5591701197329968,ols
Multi-Strategy,model2,PTFSBD,-0.004131655410472074,-0.8552035363701298,0.3936351176053676,180,0.5788720138231422,0.5591701197329968,ols
Multi-Strategy,model2,PTFSFX,0.002181246981391701,0.5616524691759834,0.5750881988676428,180,0.5788720138231422,0.5591701197329968,ols
Multi-Strategy,model2,PTFSCOM,0.006824231223903229,1.255110674008886,0.21115113032678137,180,0.5788720138231422,0.5591701197329968,ols
Multi-Strategy,model2,Liquidity,0.389407399085443,2.7129750558679735,0.00735044738556993,180,0.5788720138231422,0.5591701197329968,ols
