style,spec,term,coef_target,tstat_target,r2_target,adj_r2_target,coef,tstat,pvalue,nobs,r2,adj_r2,tstat_type,coef_diff,tstat_diff,r2_diff,adj_r2_diff,coef_abs_diff,tstat_abs_diff,same_coef_sign,target_sig_5pct,rep_sig_5pct,sig_match_5pct
Equity Market Neutral,model2,Intercept,0.0049,7.54,0.45,0.42,0.004788023617134189,6.7146285973376605,2.6705122522869647e-10,180,0.21761773766711334,0.18101505872756307,ols,-0.00011197638286581085,-0.8253714026623395,-0.23238226233288667,-0.2389849412724369,0.00011197638286581085,0.8253714026623395,True,True,True,True
Equity Market Neutral,model2,MKT-RF,0.0659,4.11,0.45,0.42,0.05392839703299489,3.0753540668600174,0.0024484022000617824,180,0.21761773766711334,0.18101505872756307,ols,-0.011971602967005113,-1.0346459331399829,-0.23238226233288667,-0.2389849412724369,0.011971602967005113,1.0346459331399829,True,True,True,True
Equity Market Neutral,model2,SMB,-0.0173,-0.98,0.45,0.42,0.02280103814403689,1.1693081024913425,0.24390686099346115,180,0.21761773766711334,0.18101505872756307,ols,0.040101038144036885,2.1493081024913425,-0.23238226233288667,-0.2389849412724369,0.040101038144036885,2.1493081024913425,False,False,False,True
Equity Market Neutral,model2,DTERM,-0.016,-5.11,0.45,0.42,-0.0024993635724179647,-0.7274153395818251,0.46796631203664607,180,0.21761773766711334,0.18101505872756307,ols,0.013500636427582036,4.382584660418175,-0.23238226233288667,-0.2389849412724369,0.013500636427582036,4.382584660418175,True,True,False,False
Equity Market Neutral,model2,DCREDIT,-0.0313,-6.32,0.45,0.42,-0.010238921590655765,-1.8695236085948967,0.06325964179519912,180,0.21761773766711334,0.18101505872756307,ols,0.021061078409344236,4.450476391405104,-0.23238226233288667,-0.2389849412724369,0.021061078409344236,4.450476391405104,True,True,False,False
Equity Market Neutral,model2,PTFSBD,-0.0011,-0.25,0.45,0.42,-0.00868001434059535,-1.7828620911067443,0.07638281200397609,180,0.21761773766711334,0.18101505872756307,ols,-0.00758001434059535,-1.5328620911067443,-0.23238226233288667,-0.2389849412724369,0.00758001434059535,1.5328620911067443,True,False,False,True
Equity Market Neutral,model2,PTFSFX,0.0051,1.43,0.45,0.42,0.0048246435159857255,1.2327640813694414,0.21935591497955448,180,0.21761773766711334,0.18101505872756307,ols,-0.0002753564840142749,-0.19723591863055856,-0.23238226233288667,-0.2389849412724369,0.0002753564840142749,0.19723591863055856,True,False,False,True
Equity Market Neutral,model2,PTFSCOM,0.0016,0.33,0.45,0.42,-0.004364354590499806,-0.7965265036482024,0.42683054463483344,180,0.21761773766711334,0.18101505872756307,ols,-0.005964354590499806,-1.1265265036482024,-0.23238226233288667,-0.2389849412724369,0.005964354590499806,1.1265265036482024,False,False,False,True
Equity Market Neutral,model2,Liquidity,0.4686,3.59,0.45,0.42,0.3303179381896695,2.283629652829372,0.023623501564493478,180,0.21761773766711334,0.18101505872756307,ols,-0.13828206181033054,-1.306370347170628,-0.23238226233288667,-0.2389849412724369,0.13828206181033054,1.306370347170628,True,True,True,True
Event Driven,model1,Intercept,0.0042,5.28,0.6,0.6,0.004839346465104777,5.118949822499534,7.956755248079753e-07,180,0.5340970908040291,0.5288326511520973,ols,0.0006393464651047774,-0.16105017750046624,-0.06590290919597086,-0.07116734884790266,0.0006393464651047774,0.16105017750046624,True,True,True,True
Event Driven,model1,MKT-RF,0.2579,14.4,0.6,0.6,0.2723762899999815,12.649112155466653,1.5375674177959848e-26,180,0.5340970908040291,0.5288326511520973,ols,0.014476289999981462,-1.750887844533347,-0.06590290919597086,-0.07116734884790266,0.014476289999981462,1.750887844533347,True,True,True,True
Event Driven,model1,Liquidity,0.8787,5.74,0.6,0.6,0.8540254975249557,4.743641556204361,4.306473782242137e-06,180,0.5340970908040291,0.5288326511520973,ols,-0.024674502475044324,-0.9963584437956392,-0.06590290919597086,-0.07116734884790266,0.024674502475044324,0.9963584437956392,True,True,True,True
