month,Convertible Arbitrage,Dedicated Short Bias,Emerging Markets,Equity Market Neutral,Event Driven,Fixed Income Arbitrage,Fund of Funds,Global Macro,Long/Short Equity,Managed Futures,Multi-Strategy
2003-10-31,128.0,24.0,178.0,181.0,338.0,127.0,1115.0,141.0,1101.0,2.0,209.0
2003-11-30,128.0,24.0,176.0,181.0,339.0,128.0,1117.0,141.0,1108.0,2.0,213.0
2003-12-31,128.0,24.0,180.0,182.0,339.0,131.0,1139.0,145.0,1112.0,2.0,217.0
2004-01-31,130.0,23.0,185.0,185.0,343.0,131.0,1152.0,150.0,1125.0,2.0,224.0
2004-02-29,128.0,23.0,187.0,190.0,348.0,132.0,1160.0,154.0,1142.0,2.0,226.0
2004-03-31,129.0,23.0,196.0,192.0,355.0,132.0,1196.0,156.0,1154.0,2.0,229.0
2004-04-30,132.0,23.0,206.0,196.0,367.0,136.0,1227.0,165.0,1168.0,2.0,239.0
2004-05-31,134.0,23.0,206.0,198.0,367.0,136.0,1240.0,169.0,1180.0,2.0,243.0
2004-06-30,133.0,22.0,208.0,199.0,367.0,137.0,1266.0,170.0,1198.0,2.0,251.0
2004-07-31,135.0,21.0,212.0,197.0,373.0,140.0,1282.0,173.0,1209.0,2.0,255.0
2004-08-31,135.0,21.0,214.0,197.0,372.0,142.0,1296.0,175.0,1207.0,2.0,259.0
2004-09-30,135.0,21.0,221.0,197.0,377.0,142.0,1304.0,179.0,1211.0,2.0,262.0
2004-10-31,134.0,21.0,219.0,197.0,375.0,145.0,1319.0,178.0,1213.0,2.0,263.0
2004-11-30,132.0,21.0,221.0,196.0,377.0,146.0,1329.0,179.0,1217.0,2.0,265.0
2004-12-31,134.0,21.0,228.0,191.0,377.0,150.0,1336.0,175.0,1218.0,2.0,266.0
2005-01-31,131.0,21.0,241.0,192.0,381.0,152.0,1367.0,178.0,1234.0,2.0,278.0
2005-02-28,129.0,20.0,244.0,191.0,386.0,152.0,1375.0,177.0,1242.0,2.0,279.0
2005-03-31,129.0,20.0,247.0,195.0,387.0,152.0,1396.0,175.0,1258.0,2.0,282.0
2005-04-30,128.0,20.0,251.0,192.0,387.0,152.0,1407.0,182.0,1278.0,2.0,290.0
2005-05-31,127.0,20.0,258.0,193.0,387.0,155.0,1416.0,182.0,1288.0,2.0,300.0
2005-06-30,127.0,21.0,259.0,192.0,391.0,159.0,1439.0,180.0,1301.0,2.0,304.0
2005-07-31,123.0,21.0,268.0,197.0,388.0,159.0,1441.0,179.0,1312.0,2.0,313.0
2005-08-31,120.0,22.0,278.0,199.0,390.0,162.0,1457.0,188.0,1313.0,2.0,317.0
2005-09-30,120.0,22.0,289.0,201.0,391.0,161.0,1461.0,192.0,1324.0,2.0,318.0
2005-10-31,120.0,22.0,290.0,205.0,393.0,161.0,1466.0,194.0,1331.0,2.0,321.0
2005-11-30,119.0,22.0,295.0,206.0,388.0,163.0,1483.0,197.0,1335.0,2.0,328.0
2005-12-31,114.0,23.0,298.0,203.0,386.0,160.0,1481.0,200.0,1331.0,2.0,325.0
2006-01-31,112.0,22.0,299.0,202.0,390.0,158.0,1499.0,208.0,1336.0,2.0,336.0
2006-02-28,110.0,22.0,303.0,201.0,383.0,158.0,1511.0,210.0,1338.0,2.0,339.0
2006-03-31,110.0,21.0,308.0,200.0,386.0,157.0,1519.0,213.0,1347.0,3.0,343.0
2006-04-30,110.0,21.0,319.0,200.0,384.0,158.0,1532.0,217.0,1354.0,3.0,349.0
2006-05-31,109.0,21.0,325.0,197.0,392.0,156.0,1549.0,219.0,1365.0,3.0,356.0
2006-06-30,109.0,21.0,327.0,196.0,386.0,156.0,1559.0,221.0,1373.0,3.0,360.0
2006-07-31,109.0,21.0,335.0,198.0,385.0,154.0,1576.0,223.0,1379.0,3.0,360.0
2006-08-31,109.0,21.0,337.0,197.0,389.0,153.0,1582.0,220.0,1372.0,3.0,365.0
2006-09-30,108.0,21.0,342.0,197.0,390.0,151.0,1590.0,219.0,1374.0,3.0,366.0
2006-10-31,108.0,22.0,348.0,202.0,380.0,149.0,1597.0,221.0,1365.0,3.0,371.0
2006-11-30,105.0,23.0,355.0,201.0,379.0,149.0,1610.0,223.0,1363.0,3.0,376.0
2006-12-31,104.0,22.0,361.0,203.0,378.0,150.0,1600.0,224.0,1362.0,3.0,376.0
2007-01-31,99.0,23.0,367.0,195.0,381.0,154.0,1624.0,234.0,1370.0,3.0,383.0
2007-02-28,97.0,24.0,373.0,197.0,379.0,150.0,1632.0,235.0,1368.0,3.0,387.0
2007-03-31,97.0,24.0,380.0,196.0,381.0,154.0,1642.0,240.0,1364.0,3.0,390.0
2007-04-30,97.0,24.0,385.0,194.0,380.0,154.0,1654.0,240.0,1355.0,3.0,396.0
2007-05-31,96.0,25.0,393.0,199.0,379.0,150.0,1671.0,242.0,1357.0,3.0,400.0
2007-06-30,93.0,23.0,394.0,197.0,370.0,146.0,1673.0,240.0,1339.0,3.0,401.0
2007-07-31,95.0,23.0,404.0,196.0,371.0,137.0,1679.0,241.0,1345.0,3.0,411.0
2007-08-31,96.0,23.0,407.0,195.0,371.0,129.0,1677.0,239.0,1332.0,3.0,421.0
2007-09-30,93.0,23.0,414.0,193.0,369.0,125.0,1667.0,232.0,1321.0,3.0,419.0
2007-10-31,88.0,24.0,412.0,191.0,361.0,123.0,1668.0,206.0,1309.0,3.0,426.0
2007-11-30,82.0,21.0,425.0,191.0,355.0,116.0,1668.0,203.0,1303.0,3.0,431.0
2007-12-31,76.0,21.0,431.0,191.0,350.0,113.0,1677.0,204.0,1304.0,3.0,434.0
2008-01-31,77.0,22.0,425.0,195.0,348.0,117.0,1690.0,204.0,1288.0,3.0,443.0
2008-02-29,76.0,22.0,425.0,191.0,344.0,116.0,1680.0,206.0,1291.0,3.0,445.0
2008-03-31,76.0,22.0,427.0,185.0,334.0,115.0,1668.0,209.0,1275.0,3.0,452.0
2008-04-30,76.0,22.0,427.0,184.0,324.0,115.0,1682.0,208.0,1260.0,3.0,454.0
2008-05-31,74.0,22.0,428.0,184.0,317.0,114.0,1688.0,208.0,1264.0,3.0,449.0
2008-06-30,72.0,22.0,433.0,181.0,315.0,113.0,1682.0,208.0,1259.0,3.0,450.0
2008-07-31,69.0,23.0,442.0,176.0,315.0,114.0,1678.0,208.0,1261.0,3.0,448.0
2008-08-31,72.0,23.0,447.0,178.0,312.0,114.0,1669.0,211.0,1249.0,3.0,442.0
2008-09-30,65.0,22.0,443.0,174.0,304.0,109.0,1625.0,208.0,1224.0,3.0,436.0
2008-10-31,63.0,22.0,438.0,167.0,295.0,101.0,1561.0,206.0,1198.0,3.0,426.0
2008-11-30,60.0,18.0,438.0,161.0,292.0,94.0,1500.0,208.0,1177.0,3.0,412.0
2008-12-31,59.0,18.0,425.0,159.0,287.0,91.0,1452.0,203.0,1167.0,3.0,408.0
